Mod:Item:MetaData, Localized Name
gregtech:gt.meta.crate.64.ingot:420, oredict.crateGt64IngotMolybdenum.name
gregtech:gt.meta.crate.64.ingot:430, oredict.crateGt64IngotTechnetium.name
gregtech:gt.meta.crate.64.ingot:440, oredict.crateGt64IngotRuthenium.name
gregtech:gt.meta.crate.64.ingot:450, oredict.crateGt64IngotRhodium.name
gregtech:gt.meta.crate.64.ingot:460, oredict.crateGt64IngotPalladium.name
gregtech:gt.meta.crate.64.ingot:470, oredict.crateGt64IngotSilver.name
gregtech:gt.meta.crate.64.ingot:480, oredict.crateGt64IngotCadmium.name
gregtech:gt.meta.crate.64.ingot:490, oredict.crateGt64IngotIndium.name
gregtech:gt.meta.crate.64.ingot:500, oredict.crateGt64IngotTin.name
gregtech:gt.meta.crate.64.ingot:510, oredict.crateGt64IngotAntimony.name
gregtech:gt.meta.crate.64.ingot:550, oredict.crateGt64IngotCaesium.name
gregtech:gt.meta.crate.64.ingot:560, oredict.crateGt64IngotBarium.name
gregtech:gt.meta.crate.64.ingot:570, oredict.crateGt64IngotLanthanum.name
gregtech:gt.meta.crate.64.ingot:580, oredict.crateGt64IngotCerium.name
gregtech:gt.meta.crate.64.ingot:600, oredict.crateGt64IngotNeodymium.name
gregtech:gt.meta.crate.64.ingot:700, oredict.crateGt64IngotYtterbium.name
gregtech:gt.meta.crate.64.ingot:720, oredict.crateGt64IngotHafnium.name
gregtech:gt.meta.crate.64.ingot:730, oredict.crateGt64IngotTantalum.name
gregtech:gt.meta.crate.64.ingot:740, oredict.crateGt64IngotTungsten.name
gregtech:gt.meta.crate.64.ingot:750, oredict.crateGt64IngotRhenium.name
gregtech:gt.meta.crate.64.ingot:760, oredict.crateGt64IngotOsmiumElemental.name
gregtech:gt.meta.crate.64.ingot:770, oredict.crateGt64IngotIridium.name
gregtech:gt.meta.crate.64.ingot:780, oredict.crateGt64IngotPlatinum.name
gregtech:gt.meta.crate.64.ingot:790, oredict.crateGt64IngotGold.name
gregtech:gt.meta.crate.64.ingot:800, oredict.crateGt64IngotMercury.name
gregtech:gt.meta.crate.64.ingot:820, oredict.crateGt64IngotLead.name
gregtech:gt.meta.crate.64.ingot:830, oredict.crateGt64IngotBismuth.name
gregtech:gt.meta.crate.64.ingot:850, oredict.crateGt64IngotAstatine.name
gregtech:gt.meta.crate.64.ingot:880, oredict.crateGt64IngotRadium.name
gregtech:gt.meta.crate.64.ingot:890, oredict.crateGt64IngotActinium.name
gregtech:gt.meta.crate.64.ingot:900, oredict.crateGt64IngotThorium.name
gregtech:gt.meta.crate.64.ingot:920, oredict.crateGt64IngotUranium.name
gregtech:gt.meta.crate.64.ingot:921, oredict.crateGt64IngotUranium235.name
gregtech:gt.meta.crate.64.ingot:922, oredict.crateGt64IngotUranium233.name
gregtech:gt.meta.crate.64.ingot:930, oredict.crateGt64IngotNeptunium.name
gregtech:gt.meta.crate.64.ingot:940, oredict.crateGt64IngotPlutonium.name
gregtech:gt.meta.crate.64.ingot:942, oredict.crateGt64IngotPlutonium240.name
gregtech:gt.meta.crate.64.ingot:943, oredict.crateGt64IngotPlutonium241.name
gregtech:gt.meta.crate.64.ingot:945, oredict.crateGt64IngotPlutonium243.name
gregtech:gt.meta.crate.64.ingot:946, oredict.crateGt64IngotPlutonium238.name
gregtech:gt.meta.crate.64.ingot:947, oredict.crateGt64IngotPlutonium239.name
gregtech:gt.meta.crate.64.ingot:950, oredict.crateGt64IngotAmericium.name
gregtech:gt.meta.crate.64.ingot:951, oredict.crateGt64IngotAmericium241.name
gregtech:gt.meta.crate.64.ingot:1170, oredict.crateGt64IngotFarnsium.name
gregtech:gt.meta.crate.64.ingot:1260, oredict.crateGt64IngotTrinium.name
gregtech:gt.meta.crate.64.ingot:1740, oredict.crateGt64IngotNaquadah.name
gregtech:gt.meta.crate.64.ingot:1741, oredict.crateGt64IngotNaquadahEnriched.name
gregtech:gt.meta.crate.64.ingot:1742, oredict.crateGt64IngotNaquadria.name
gregtech:gt.meta.crate.64.ingot:2210, oredict.crateGt64IngotAtlarus.name
gregtech:gt.meta.crate.64.ingot:8003, oredict.crateGt64IngotCarborundum.name
gregtech:gt.meta.crate.64.ingot:8005, oredict.crateGt64IngotFerrite.name
gregtech:gt.meta.crate.64.ingot:8008, oredict.crateGt64IngotAlumina.name
gregtech:gt.meta.crate.64.ingot:8009, oredict.crateGt64IngotCryolite.name
gregtech:gt.meta.crate.64.ingot:8010, oredict.crateGt64IngotAluminiumFluoride.name
gregtech:gt.meta.crate.64.ingot:8013, oredict.crateGt64IngotSodiumCarbonate.name
gregtech:gt.meta.crate.64.ingot:8016, oredict.crateGt64IngotMagnesiumCarbonate.name
gregtech:gt.meta.crate.64.ingot:8018, oredict.crateGt64IngotMagnesiumChloride.name
gregtech:gt.meta.crate.64.ingot:8020, oredict.crateGt64IngotPotassiumCarbonate.name
gregtech:gt.meta.crate.64.ingot:8026, oredict.crateGt64IngotTungstenTrioxide.name
gregtech:gt.meta.crate.64.ingot:8028, oredict.crateGt64IngotCalciumChloride.name
gregtech:gt.meta.crate.64.ingot:8029, oredict.crateGt64IngotLithiumChloride.name
gregtech:gt.meta.crate.64.ingot:8030, oredict.crateGt64IngotFerrousChloride.name
gregtech:gt.meta.crate.64.ingot:8031, oredict.crateGt64IngotManganeseChloride.name
gregtech:gt.meta.crate.64.ingot:8033, oredict.crateGt64IngotLithiumChlorate.name
gregtech:gt.meta.crate.64.ingot:8034, oredict.crateGt64IngotLithiumPerchlorate.name
gregtech:gt.meta.crate.64.ingot:8217, oredict.crateGt64IngotRubber.name
gregtech:gt.meta.crate.64.ingot:8218, oredict.crateGt64IngotPlastic.name
gregtech:gt.meta.crate.64.ingot:8235, oredict.crateGt64IngotWax.name
gregtech:gt.meta.crate.64.ingot:8236, oredict.crateGt64IngotWaxBee.name
gregtech:gt.meta.crate.64.ingot:8237, oredict.crateGt64IngotWaxRefractory.name
gregtech:gt.meta.crate.64.ingot:8238, oredict.crateGt64IngotWaxParaffin.name
gregtech:gt.meta.crate.64.ingot:8239, oredict.crateGt64IngotWaxPlant.name
gregtech:gt.meta.crate.64.ingot:8240, oredict.crateGt64IngotWaxMagic.name
gregtech:gt.meta.crate.64.ingot:8280, oredict.crateGt64IngotWaxAmnesic.name
gregtech:gt.meta.crate.64.ingot:8281, oredict.crateGt64IngotWaxSoulful.name
gregtech:gt.meta.crate.64.ingot:8334, oredict.crateGt64IngotCoal.name
gregtech:gt.meta.crate.64.ingot:8336, oredict.crateGt64IngotCharcoal.name
gregtech:gt.meta.crate.64.ingot:8337, oredict.crateGt64IngotLignite.name
gregtech:gt.meta.crate.64.ingot:8349, oredict.crateGt64IngotCoalCoke.name
gregtech:gt.meta.crate.64.ingot:8360, oredict.crateGt64IngotPeat.name
gregtech:gt.meta.crate.64.ingot:8361, oredict.crateGt64IngotPeatBituminous.name
gregtech:gt.meta.crate.64.ingot:8362, oredict.crateGt64IngotAnthracite.name
gregtech:gt.meta.crate.64.ingot:8363, oredict.crateGt64IngotPrismane.name
gregtech:gt.meta.crate.64.ingot:8364, oredict.crateGt64IngotLonsdaleite.name
gregtech:gt.meta.crate.64.ingot:8365, oredict.crateGt64IngotLigniteCoke.name
gregtech:gt.meta.crate.64.ingot:8390, oredict.crateGt64IngotPetroleumCoke.name
gregtech:gt.meta.crate.64.ingot:8600, oredict.crateGt64IngotElectrum.name
gregtech:gt.meta.crate.64.ingot:8601, oredict.crateGt64IngotSterlingSilver.name
gregtech:gt.meta.crate.64.ingot:8602, oredict.crateGt64IngotRoseGold.name
gregtech:gt.meta.crate.64.ingot:8603, oredict.crateGt64IngotAngmallen.name
gregtech:gt.meta.crate.64.ingot:8604, oredict.crateGt64IngotGoldInductive.name
gregtech:gt.meta.crate.64.ingot:8605, oredict.crateGt64IngotCdInAgAlloy.name
gregtech:gt.meta.crate.64.ingot:8606, oredict.crateGt64IngotGildedIron.name
gregtech:gt.meta.crate.64.ingot:8610, oredict.crateGt64IngotBronze.name
gregtech:gt.meta.crate.64.ingot:8611, oredict.crateGt64IngotBlackBronze.name
gregtech:gt.meta.crate.64.ingot:8612, oredict.crateGt64IngotBismuthBronze.name
gregtech:gt.meta.crate.64.ingot:8613, oredict.crateGt64IngotHepatizon.name
gregtech:gt.meta.crate.64.ingot:8620, oredict.crateGt64IngotBrass.name
gregtech:gt.meta.crate.64.ingot:8621, oredict.crateGt64IngotCobaltBrass.name
gregtech:gt.meta.crate.64.ingot:8622, oredict.crateGt64IngotAluminiumAlloy.name
gregtech:gt.meta.crate.64.ingot:8630, oredict.crateGt64IngotSteel.name
gregtech:gt.meta.crate.64.ingot:8631, oredict.crateGt64IngotBlackSteel.name
gregtech:gt.meta.crate.64.ingot:8632, oredict.crateGt64IngotBlueSteel.name
gregtech:gt.meta.crate.64.ingot:8633, oredict.crateGt64IngotRedSteel.name
gregtech:gt.meta.crate.64.ingot:8634, oredict.crateGt64IngotDamascusSteel.name
gregtech:gt.meta.crate.64.ingot:8635, oredict.crateGt64IngotTungstensteel.name
gregtech:gt.meta.crate.64.ingot:8636, oredict.crateGt64IngotStainlessSteel.name
gregtech:gt.meta.crate.64.ingot:8637, oredict.crateGt64IngotHSLASteel.name
gregtech:gt.meta.crate.64.ingot:8638, oredict.crateGt64IngotTungstenCarbide.name
gregtech:gt.meta.crate.64.ingot:8639, oredict.crateGt64IngotHSLASpringSteel.name
gregtech:gt.meta.crate.64.ingot:8640, oredict.crateGt64IngotAnnealedCopper.name
gregtech:gt.meta.crate.64.ingot:8642, oredict.crateGt64IngotPigIron.name
gregtech:gt.meta.crate.64.ingot:8643, oredict.crateGt64IngotWroughtIron.name
gregtech:gt.meta.crate.64.ingot:8644, oredict.crateGt64IngotIronCompressed.name
gregtech:gt.meta.crate.64.ingot:8645, oredict.crateGt64IngotIronMagnetic.name
gregtech:gt.meta.crate.64.ingot:8646, oredict.crateGt64IngotSteelMagnetic.name
gregtech:gt.meta.crate.64.ingot:8647, oredict.crateGt64IngotNeodymiumMagnetic.name
gregtech:gt.meta.crate.64.ingot:8648, oredict.crateGt64IngotDarkIron.name
gregtech:gt.meta.crate.64.ingot:8649, oredict.crateGt64IngotMeteoricIron.name
gregtech:gt.meta.crate.64.ingot:8650, oredict.crateGt64IngotMeteoricSteel.name
gregtech:gt.meta.crate.64.ingot:8651, oredict.crateGt64IngotSteelGalvanized.name
gregtech:gt.meta.crate.64.ingot:8652, oredict.crateGt64IngotTungstenSintered.name
gregtech:gt.meta.crate.64.ingot:8653, oredict.crateGt64IngotVanadiumSteel.name
gregtech:gt.meta.crate.64.ingot:8654, oredict.crateGt64IngotTitaniumGold.name
gregtech:gt.meta.crate.64.ingot:8660, oredict.crateGt64IngotRedAlloy.name
gregtech:gt.meta.crate.64.ingot:8661, oredict.crateGt64IngotInvar.name
gregtech:gt.meta.crate.64.ingot:8662, oredict.crateGt64IngotConstantan.name
gregtech:gt.meta.crate.64.ingot:8663, oredict.crateGt64IngotNichrome.name
gregtech:gt.meta.crate.64.ingot:8664, oredict.crateGt64IngotKanthal.name
gregtech:gt.meta.crate.64.ingot:8665, oredict.crateGt64IngotMagnalium.name
gregtech:gt.meta.crate.64.ingot:8666, oredict.crateGt64IngotUltimet.name
gregtech:gt.meta.crate.64.ingot:8667, oredict.crateGt64IngotTinAlloy.name
gregtech:gt.meta.crate.64.ingot:8668, oredict.crateGt64IngotBatteryAlloy.name
gregtech:gt.meta.crate.64.ingot:8669, oredict.crateGt64IngotSolderingAlloy.name
gregtech:gt.meta.crate.64.ingot:8672, oredict.crateGt64IngotIronWood.name
gregtech:gt.meta.crate.64.ingot:8673, oredict.crateGt64IngotSteeleaf.name
gregtech:gt.meta.crate.64.ingot:8676, oredict.crateGt64IngotAstralSilver.name
gregtech:gt.meta.crate.64.ingot:8677, oredict.crateGt64IngotMidasium.name
gregtech:gt.meta.crate.64.ingot:8678, oredict.crateGt64IngotMithril.name
gregtech:gt.meta.crate.64.ingot:8679, oredict.crateGt64IngotThaumium.name
gregtech:gt.meta.crate.64.ingot:8681, oredict.crateGt64IngotVoidMetal.name
gregtech:gt.meta.crate.64.ingot:8682, oredict.crateGt64IngotOsmiridium.name
gregtech:gt.meta.crate.64.ingot:8683, oredict.crateGt64IngotSunnarium.name
gregtech:gt.meta.crate.64.ingot:8684, oredict.crateGt64IngotTrinaquadalloy.name
gregtech:gt.meta.crate.64.ingot:8685, oredict.crateGt64IngotChromiumDioxide.name
gregtech:gt.meta.crate.64.ingot:8686, oredict.crateGt64IngotVanadiumGallium.name
gregtech:gt.meta.crate.64.ingot:8687, oredict.crateGt64IngotYttriumBariumCuprate.name
gregtech:gt.meta.crate.64.ingot:8688, oredict.crateGt64IngotNiobiumNitride.name
gregtech:gt.meta.crate.64.ingot:8689, oredict.crateGt64IngotNiobiumTitanium.name
gregtech:gt.meta.crate.64.ingot:8700, oredict.crateGt64IngotAluminiumBrass.name
gregtech:gt.meta.crate.64.ingot:8701, oredict.crateGt64IngotAredrite.name
gregtech:gt.meta.crate.64.ingot:8702, oredict.crateGt64IngotAlumite.name
gregtech:gt.meta.crate.64.ingot:8703, oredict.crateGt64IngotManyullyn.name
gregtech:gt.meta.crate.64.ingot:8704, oredict.crateGt64IngotVibraniumSteel.name
gregtech:gt.meta.crate.64.ingot:8705, oredict.crateGt64IngotVibraniumSilver.name
gregtech:gt.meta.crate.64.ingot:8706, oredict.crateGt64IngotVibramantium.name
gregtech:gt.meta.crate.64.ingot:8707, oredict.crateGt64IngotArdite.name
gregtech:gt.meta.crate.64.ingot:8708, oredict.crateGt64IngotSignalum.name
gregtech:gt.meta.crate.64.ingot:8709, oredict.crateGt64IngotLumium.name
gregtech:gt.meta.crate.64.ingot:8710, oredict.crateGt64IngotEnderium.name
gregtech:gt.meta.crate.64.ingot:8711, oredict.crateGt64IngotElectrumFlux.name
gregtech:gt.meta.crate.64.ingot:8713, oredict.crateGt64IngotGlowstoneRefined.name
gregtech:gt.meta.crate.64.ingot:8714, oredict.crateGt64IngotObsidianRefined.name
gregtech:gt.meta.crate.64.ingot:8718, oredict.crateGt64IngotBedrockHSLAAlloy.name
gregtech:gt.meta.crate.64.ingot:8719, oredict.crateGt64IngotOsmium.name
gregtech:gt.meta.crate.64.ingot:8725, oredict.crateGt64IngotPulsatingIron.name
gregtech:gt.meta.crate.64.ingot:8726, oredict.crateGt64IngotVibrantAlloy.name
gregtech:gt.meta.crate.64.ingot:8727, oredict.crateGt64IngotConductiveIron.name
gregtech:gt.meta.crate.64.ingot:8728, oredict.crateGt64IngotEnergeticAlloy.name
gregtech:gt.meta.crate.64.ingot:8729, oredict.crateGt64IngotEnderiumBase.name
gregtech:gt.meta.crate.64.ingot:8730, oredict.crateGt64IngotElectricalSteel.name
gregtech:gt.meta.crate.64.ingot:8731, oredict.crateGt64IngotObsidianSteel.name
gregtech:gt.meta.crate.64.ingot:8732, oredict.crateGt64IngotSoularium.name
gregtech:gt.meta.crate.64.ingot:8733, oredict.crateGt64IngotRedstoneAlloy.name
gregtech:gt.meta.crate.64.ingot:8734, oredict.crateGt64IngotSpectreIron.name
gregtech:gt.meta.crate.64.ingot:8736, oredict.crateGt64IngotEndium.name
gregtech:gt.meta.crate.64.ingot:8744, oredict.crateGt64IngotAncientDebris.name
gregtech:gt.meta.crate.64.ingot:8745, oredict.crateGt64IngotNetherite.name
gregtech:gt.meta.crate.64.ingot:8746, oredict.crateGt64IngotNetherizedDiamond.name
gregtech:gt.meta.crate.64.ingot:8747, oredict.crateGt64IngotEfrine.name
gregtech:gt.meta.crate.64.ingot:8751, oredict.crateGt64IngotDuranium.name
gregtech:gt.meta.crate.64.ingot:8752, oredict.crateGt64IngotTritanium.name
gregtech:gt.meta.crate.64.ingot:8756, oredict.crateGt64IngotDuralumin.name
gregtech:gt.meta.crate.64.ingot:8766, oredict.crateGt64IngotHSLATungstenAlloy.name
gregtech:gt.meta.crate.64.ingot:8782, oredict.crateGt64IngotTartarite.name
gregtech:gt.meta.crate.64.ingot:8784, oredict.crateGt64IngotAdamantine.name
gregtech:gt.meta.crate.64.ingot:8790, oredict.crateGt64IngotTrinitanium.name
gregtech:gt.meta.crate.64.ingot:8791, oredict.crateGt64IngotDraconium.name
gregtech:gt.meta.crate.64.ingot:8792, oredict.crateGt64IngotDraconiumAwakened.name
gregtech:gt.meta.crate.64.ingot:8793, oredict.crateGt64IngotTitaniumIridium.name
gregtech:gt.meta.crate.64.ingot:8794, oredict.crateGt64IngotTitaniumAluminide.name
gregtech:gt.meta.crate.64.ingot:8795, oredict.crateGt64IngotBedrockium.name
gregtech:gt.meta.crate.64.ingot:8796, oredict.crateGt64IngotHSSG.name
gregtech:gt.meta.crate.64.ingot:8797, oredict.crateGt64IngotHSSE.name
gregtech:gt.meta.crate.64.ingot:8798, oredict.crateGt64IngotHSSS.name
gregtech:gt.meta.crate.64.ingot:8799, oredict.crateGt64IngotCrystalMatrix.name
gregtech:gt.meta.crate.64.ingot:8800, oredict.crateGt64IngotCosmicNeutronium.name
gregtech:gt.meta.crate.64.ingot:8801, oredict.crateGt64IngotInfinity.name
gregtech:gt.meta.crate.64.ingot:8802, oredict.crateGt64IngotTantalumHafniumCarbide.name
gregtech:gt.meta.crate.64.ingot:9107, oredict.crateGt64IngotCalcite.name
gregtech:gt.meta.crate.64.ingot:9126, oredict.crateGt64IngotPyrolusite.name
gregtech:gt.meta.crate.64.ingot:9192, oredict.crateGt64IngotRutile.name
gregtech:gt.meta.crate.64.ingot:9215, oredict.crateGt64IngotFluorite.name
gregtech:gt.meta.crate.64.ingot:9700, oredict.crateGt64IngotMeatRaw.name
gregtech:gt.meta.crate.64.ingot:9701, oredict.crateGt64IngotMeatCooked.name
gregtech:gt.meta.crate.64.ingot:9710, oredict.crateGt64IngotMeatRotten.name
gregtech:gt.meta.crate.64.ingot:9711, oredict.crateGt64IngotFishCooked.name
gregtech:gt.meta.crate.64.ingot:9712, oredict.crateGt64IngotFishRaw.name
gregtech:gt.meta.crate.64.ingot:9713, oredict.crateGt64IngotFishRotten.name
gregtech:gt.meta.crate.64.ingot:9778, oredict.crateGt64IngotTofu.name
gregtech:gt.meta.crate.64.ingot:9779, oredict.crateGt64IngotSoylentGreen.name
gregtech:gt.meta.crate.64.ingot:9780, oredict.crateGt64IngotCheese.name
gregtech:gt.meta.crate.64.ingot:9783, oredict.crateGt64IngotChocolate.name
gregtech:gt.meta.crate.64.ingot:9798, oredict.crateGt64IngotButter.name
gregtech:gt.meta.crate.64.ingot:9799, oredict.crateGt64IngotSaltedButter.name
gregtech:gt.meta.crate.64.ingot:15000, oredict.crateGt64IngotTitaniumNiobiumCarbide.name
gregtech:gt.meta.crate.64.ingot:15400, oredict.crateGt64IngotPolytetrafluoroethylene.name
gregtech:gt.meta.crate.64.ingot:15401, oredict.crateGt64IngotPolyethylene.name
gregtech:gt.meta.crate.64.ingot:15402, oredict.crateGt64IngotPolyvinylchloride.name
gregtech:gt.meta.crate.64.ingot:15403, oredict.crateGt64IngotEpoxid.name
gregtech:gt.meta.crate.64.plate:30, oredict.crateGt64PlateLithium.name
gregtech:gt.meta.crate.64.plate:31, oredict.crateGt64PlateLithium6.name
gregtech:gt.meta.crate.64.plate:40, oredict.crateGt64PlateBeryllium.name
gregtech:gt.meta.crate.64.plate:41, oredict.crateGt64PlateBeryllium7.name
gregtech:gt.meta.crate.64.plate:42, oredict.crateGt64PlateBeryllium8.name
gregtech:gt.meta.crate.64.plate:50, oredict.crateGt64PlateBoron.name
gregtech:gt.meta.crate.64.plate:51, oredict.crateGt64PlateBoron11.name
gregtech:gt.meta.crate.64.plate:110, oredict.crateGt64PlateSodium.name
gregtech:gt.meta.crate.64.plate:120, oredict.crateGt64PlateMagnesium.name
gregtech:gt.meta.crate.64.plate:130, oredict.crateGt64PlateAluminium.name
gregtech:gt.meta.crate.64.plate:140, oredict.crateGt64PlateSilicon.name
gregtech:gt.meta.crate.64.plate:190, oredict.crateGt64PlatePotassium.name
gregtech:gt.meta.crate.64.plate:200, oredict.crateGt64PlateCalcium.name
gregtech:gt.meta.crate.64.plate:220, oredict.crateGt64PlateTitanium.name
gregtech:gt.meta.crate.64.plate:230, oredict.crateGt64PlateVanadium.name
gregtech:gt.meta.crate.64.plate:240, oredict.crateGt64PlateChromium.name
gregtech:gt.meta.crate.64.plate:250, oredict.crateGt64PlateManganese.name
gregtech:gt.meta.crate.64.plate:260, oredict.crateGt64PlateIron.name
gregtech:gt.meta.crate.64.plate:270, oredict.crateGt64PlateCobalt.name
gregtech:gt.meta.crate.64.plate:278, oredict.crateGt64PlateCobalt60.name
gregtech:gt.meta.crate.64.plate:280, oredict.crateGt64PlateNickel.name
gregtech:gt.meta.crate.64.plate:290, oredict.crateGt64PlateCopper.name
gregtech:gt.meta.crate.64.plate:300, oredict.crateGt64PlateZinc.name
gregtech:gt.meta.crate.64.plate:310, oredict.crateGt64PlateGallium.name
gregtech:gt.meta.crate.64.plate:320, oredict.crateGt64PlateGermanium.name
gregtech:gt.meta.crate.64.plate:330, oredict.crateGt64PlateArsenic.name
gregtech:gt.meta.crate.64.plate:370, oredict.crateGt64PlateRubidium.name
gregtech:gt.meta.crate.64.plate:380, oredict.crateGt64PlateStrontium.name
gregtech:gt.meta.crate.64.plate:390, oredict.crateGt64PlateYttrium.name
gregtech:gt.meta.crate.64.plate:400, oredict.crateGt64PlateZirconium.name
gregtech:gt.meta.crate.64.plate:410, oredict.crateGt64PlateNiobium.name
gregtech:gt.meta.crate.64.plate:420, oredict.crateGt64PlateMolybdenum.name
gregtech:gt.meta.crate.64.plate:430, oredict.crateGt64PlateTechnetium.name
gregtech:gt.meta.crate.64.plate:440, oredict.crateGt64PlateRuthenium.name
gregtech:gt.meta.crate.64.plate:450, oredict.crateGt64PlateRhodium.name
gregtech:gt.meta.crate.64.plate:460, oredict.crateGt64PlatePalladium.name
gregtech:gt.meta.crate.64.plate:470, oredict.crateGt64PlateSilver.name
gregtech:gt.meta.crate.64.plate:480, oredict.crateGt64PlateCadmium.name
gregtech:gt.meta.crate.64.plate:490, oredict.crateGt64PlateIndium.name
gregtech:gt.meta.crate.64.plate:500, oredict.crateGt64PlateTin.name
gregtech:gt.meta.crate.64.plate:510, oredict.crateGt64PlateAntimony.name
gregtech:gt.meta.crate.64.plate:550, oredict.crateGt64PlateCaesium.name
gregtech:gt.meta.crate.64.plate:560, oredict.crateGt64PlateBarium.name
gregtech:gt.meta.crate.64.plate:570, oredict.crateGt64PlateLanthanum.name
gregtech:gt.meta.crate.64.plate:580, oredict.crateGt64PlateCerium.name
gregtech:gt.meta.crate.64.plate:600, oredict.crateGt64PlateNeodymium.name
gregtech:gt.meta.crate.64.plate:700, oredict.crateGt64PlateYtterbium.name
gregtech:gt.meta.crate.64.plate:720, oredict.crateGt64PlateHafnium.name
gregtech:gt.meta.crate.64.plate:730, oredict.crateGt64PlateTantalum.name
gregtech:gt.meta.crate.64.plate:740, oredict.crateGt64PlateTungsten.name
gregtech:gt.meta.crate.64.plate:750, oredict.crateGt64PlateRhenium.name
gregtech:gt.meta.crate.64.plate:760, oredict.crateGt64PlateOsmiumElemental.name
gregtech:gt.meta.crate.64.plate:770, oredict.crateGt64PlateIridium.name
gregtech:gt.meta.crate.64.plate:780, oredict.crateGt64PlatePlatinum.name
gregtech:gt.meta.crate.64.plate:790, oredict.crateGt64PlateGold.name
gregtech:gt.meta.crate.64.plate:800, oredict.crateGt64PlateMercury.name
gregtech:gt.meta.crate.64.plate:820, oredict.crateGt64PlateLead.name
gregtech:gt.meta.crate.64.plate:830, oredict.crateGt64PlateBismuth.name
gregtech:gt.meta.crate.64.plate:850, oredict.crateGt64PlateAstatine.name
gregtech:gt.meta.crate.64.plate:880, oredict.crateGt64PlateRadium.name
gregtech:gt.meta.crate.64.plate:890, oredict.crateGt64PlateActinium.name
gregtech:gt.meta.crate.64.plate:900, oredict.crateGt64PlateThorium.name
gregtech:gt.meta.crate.64.plate:920, oredict.crateGt64PlateUranium.name
gregtech:gt.meta.crate.64.plate:921, oredict.crateGt64PlateUranium235.name
gregtech:gt.meta.crate.64.plate:922, oredict.crateGt64PlateUranium233.name
gregtech:gt.meta.crate.64.plate:930, oredict.crateGt64PlateNeptunium.name
gregtech:gt.meta.crate.64.plate:940, oredict.crateGt64PlatePlutonium.name
gregtech:gt.meta.crate.64.plate:942, oredict.crateGt64PlatePlutonium240.name
gregtech:gt.meta.crate.64.plate:943, oredict.crateGt64PlatePlutonium241.name
gregtech:gt.meta.crate.64.plate:945, oredict.crateGt64PlatePlutonium243.name
gregtech:gt.meta.crate.64.plate:946, oredict.crateGt64PlatePlutonium238.name
gregtech:gt.meta.crate.64.plate:947, oredict.crateGt64PlatePlutonium239.name
gregtech:gt.meta.crate.64.plate:950, oredict.crateGt64PlateAmericium.name
gregtech:gt.meta.crate.64.plate:951, oredict.crateGt64PlateAmericium241.name
gregtech:gt.meta.crate.64.plate:1170, oredict.crateGt64PlateFarnsium.name
gregtech:gt.meta.crate.64.plate:1260, oredict.crateGt64PlateTrinium.name
gregtech:gt.meta.crate.64.plate:1740, oredict.crateGt64PlateNaquadah.name
gregtech:gt.meta.crate.64.plate:1741, oredict.crateGt64PlateNaquadahEnriched.name
gregtech:gt.meta.crate.64.plate:1742, oredict.crateGt64PlateNaquadria.name
gregtech:gt.meta.crate.64.plate:2210, oredict.crateGt64PlateAtlarus.name
gregtech:gt.meta.crate.64.plate:3800, oredict.crateGt64PlateNeutronium.name
gregtech:gt.meta.crate.64.plate:8003, oredict.crateGt64PlateCarborundum.name
gregtech:gt.meta.crate.64.plate:8005, oredict.crateGt64PlateFerrite.name
gregtech:gt.meta.crate.64.plate:8210, oredict.crateGt64PlateBlizz.name
gregtech:gt.meta.crate.64.plate:8211, oredict.crateGt64PlateBlaze.name
gregtech:gt.meta.crate.64.plate:8214, oredict.crateGt64PlateObsidian.name
gregtech:gt.meta.crate.64.plate:8215, oredict.crateGt64PlateClay.name
gregtech:gt.meta.crate.64.plate:8217, oredict.crateGt64PlateRubber.name
gregtech:gt.meta.crate.64.plate:8218, oredict.crateGt64PlatePlastic.name
gregtech:gt.meta.crate.64.plate:8219, oredict.crateGt64PlateBone.name
gregtech:gt.meta.crate.64.plate:8221, oredict.crateGt64PlateWood.name
gregtech:gt.meta.crate.64.plate:8222, oredict.crateGt64PlateWoodTreated.name
gregtech:gt.meta.crate.64.plate:8224, oredict.crateGt64PlateWoodRubber.name
gregtech:gt.meta.crate.64.plate:8225, oredict.crateGt64PlateCeramic.name
gregtech:gt.meta.crate.64.plate:8227, oredict.crateGt64PlatePeanutWood.name
gregtech:gt.meta.crate.64.plate:8235, oredict.crateGt64PlateWax.name
gregtech:gt.meta.crate.64.plate:8236, oredict.crateGt64PlateWaxBee.name
gregtech:gt.meta.crate.64.plate:8237, oredict.crateGt64PlateWaxRefractory.name
gregtech:gt.meta.crate.64.plate:8238, oredict.crateGt64PlateWaxParaffin.name
gregtech:gt.meta.crate.64.plate:8239, oredict.crateGt64PlateWaxPlant.name
gregtech:gt.meta.crate.64.plate:8240, oredict.crateGt64PlateWaxMagic.name
gregtech:gt.meta.crate.64.plate:8247, oredict.crateGt64PlateBasalz.name
gregtech:gt.meta.crate.64.plate:8248, oredict.crateGt64PlateBlitz.name
gregtech:gt.meta.crate.64.plate:8267, oredict.crateGt64PlateWoodPolished.name
gregtech:gt.meta.crate.64.plate:8273, oredict.crateGt64PlatePorcelain.name
gregtech:gt.meta.crate.64.plate:8276, oredict.crateGt64PlateClayBrown.name
gregtech:gt.meta.crate.64.plate:8277, oredict.crateGt64PlatePetrifiedWood.name
gregtech:gt.meta.crate.64.plate:8280, oredict.crateGt64PlateWaxAmnesic.name
